RATING,TITLE,VERIFIED,TEXT,DATE
4.0 out of 5 stars,Very good,Verified Purchase,"This is exactly what I needed. I find bright colours off putting. These pastels are surely very pleasant to the eyes. Plus they don’t appear visible on the back of the page when highlighted. So it’s exactly what we need. The only minus is that the yellow highlighter is a bit too bright to put into the pastel collection. But otherwise , the rest of the 5 highlighters were perfect.",Reviewed in the United Kingdom on 1 December 2020
5.0 out of 5 stars,Stabilo quality and a good price for a set of four,Verified Purchase,"I almost exclusively use yellow and green highlighters, and I was pleased to be able to buy four of the same colour, cheaper than buying 4 individual pens, and withut needing to buy a large set of assorted colours most of which I would never use.I bought a pack of four yellow, and a pack of four green.Stabilo are a well known brand and there was no surprise with the quality.  I have not tested how long I can leave the cap off without the pen drying out,  but I have not found a particular problem when using one for an extended time eg while marking up a large document.",Reviewed in the United Kingdom on 22 January 2018
5.0 out of 5 stars,Beautiful colours!,Verified Purchase,"I have been using these highlighters for a year and a half and they're still going strong so they do last. They look beautiful and I prefer them to normal highlighters as they dont interfere with the writing at all. The only issues I have is some are wetter than others, more ink comes out particularly in the blue/turquoise one but it doesnt effect notes just takes longer to dry. Additionally, the orange and pink colours are sometimes harder to tell apart when quickly skimming through notes. However, they are still great products and I would recommend as they're still my favourite.",Reviewed in the United Kingdom on 10 January 2020
5.0 out of 5 stars,"Great markers,",Verified Purchase,"I need these to read!  I highlight the page I've read so I always know where I've left off. The highlighters push me through a difficult text.  Usually I buy cheap highlighters from markets but these are so much better,  Great colour choice, great price and value. I will be back for more.",Reviewed in the United Kingdom on 17 November 2019
5.0 out of 5 stars,They are great!!,Verified Purchase,I always hated the bright colours so was thrilled with these pastel ones. They aren't so horrid on the eyes and makes my work look presentable without the eye sores of the fluorescent highlighters. Love the brand they last ever so long!,Reviewed in the United Kingdom on 8 December 2020
5.0 out of 5 stars,Nice quality as you expect from Stabilo.,Verified Purchase,"I have found cheap highlighters quickly dry up or run out, and the highlighting is not consistent (seems to get lighter heavier as you mark a text line). These are perfect. It is worth investing in a good brand (like Stabilo). I would recommend these.",Reviewed in the United Kingdom on 7 June 2020
1.0 out of 5 stars,Red are not red,Verified Purchase,"I ordered red. Red arrived however, the outside of the pens looked pinky and when I tested them, they were fluorescent pink. Light pink. Not remotely red. I was very confused. Money refunded",Reviewed in the United Kingdom on 10 December 2019
5.0 out of 5 stars,PRETTY AND SIMPLE,Verified Purchase,"Got these for college use and they are pretty and easy to use. Comfortable to hold and well prices for its quantity, however the durability was shorter than expected but perhaps its down to how often and how much you use them.",Reviewed in the United Kingdom on 17 February 2021
5.0 out of 5 stars,yas,Verified Purchase,"these actually make me excited to study; it came as a shock to me too. i always hated revising because my notes are always ugly but these immediately turn them from a 3/10 to a solid 9/10. even if i'm just highlighting everything because i love the colours. i tend to leave the yellow out though as it's a bit too bright and garish when beside the other colours. anyway, i recommend these; good value and pretty.",Reviewed in the United Kingdom on 4 April 2018
5.0 out of 5 stars,Highlighters that last for years,Verified Purchase,"Ideal for personal research projects. I use orange for very important or negative text, green for general importance or good text, yellow for additional info and pink for nothing at all. (Red would have been better).",Reviewed in the United Kingdom on 21 March 2021
5.0 out of 5 stars,highlight of my life!,Verified Purchase,i have an obsession with highlighters and Stabilo has always had good quality as always! the highlighter  was smooth and runny enough to get a long line sentence covered. the selection of colours was really helpful as i have dyslexia nd it helps me read my notes better and quicker.,Reviewed in the United Kingdom on 1 August 2020
5.0 out of 5 stars,My favourite highlighter.,Verified Purchase,"I chose pastel highlighters because i wasn't a huge fan of the neon. I also got them for bullet journaling, but they are my go-to highlight now! Really nice shades and they are bright enough to do the job of highlighting. I did have issue with them seeping through the paper, so maybe a tip to not press on really hard! My orange/peach did go a bit weird at the end so i must of got a dud but i scrapped off the end a bit and it works fine again.",Reviewed in the United Kingdom on 5 August 2018
5.0 out of 5 stars,Highly recommend!,Verified Purchase,"As I saw in the comments, some customers had received different colours, not the ones that were featured in the pictures, so in all honesty, I was kind of worried. But! What I had received, is what I ordered!! They are very pretty! They came in a small amount of time also! Delivered two days are buying and I was told if was meant to be delivered the day after. This product is a must! As for trying them out, I’m still waiting to use them but I’m 100% sure they will be as amazing as they look! Highly recommend!",Reviewed in the United Kingdom on 9 May 2021
4.0 out of 5 stars,Good set of highlights.,Verified Purchase,"Good highlighters with a nice vibrant colour. I find 2 of the 3 shades of pink very, very similar in colour.. A minor niggle for me is that the nib could be a tiny bit wider to better fit the space between lines. Price was very reasonable at around £6.",Reviewed in the United Kingdom on 5 December 2019
3.0 out of 5 stars,Highlighter,TOP 50 REVIEWER|Verified Purchase,I was really disappointed in these.  It makes reading easier because of the pastel shade! However these bleed SO much! I try to do the lightest touch possible and it still bleeds. I tried different colors but all bled through,Reviewed in the United Kingdom on 7 December 2020
1.0 out of 5 stars,Bleeds terribly with light pressure,Verified Purchase,"Avoid! I’ve used the yellow pastel highlighter for years so wanted to get the full set of other colours to match. I was happy to pay extra because I always use the standard colours and assumed this would be an improvement. Mistake!!! It bleeds terribly through the paper. This is just plain printer paper that I highlight for revision notes. Just get the standard colours because you can’t return! (First photo shows back of paper, second is the front highlighted)",Reviewed in the United Kingdom on 8 October 2020
2.0 out of 5 stars,Wouldn’t buy this brand again,Verified Purchase,Cute. Love the colours. But it blurs my writing and then the ink gets on the highlighter which obviously ruins the highlighter.. but also the writing that needed to be highlighted.,Reviewed in the United Kingdom on 24 February 2019
